StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,Manager Name
The Vintage Nook,Outlet Stores,11/1/2014,2603 Hill Knolls Suite 550 Lopezland  MH 04814,Hoffmanland,California,Samoa,East,Brittany
The Blissful Loft,Exclusive,11/8/1988,11400 Brooks Ranch Apt. 916 West Jacobfurt  VI 39039,Williamton,New Mexico,Belize,East,Kathryn
The Unique Shoppe,SMB,7/11/1972,USNS Foster FPO AP 59897,Jamieburgh,Mississippi,Sierra Leone,North,Christopher
The Golden Hub,MBO,5/28/1989,13106 Jennifer Heights Apt. 280 Walkerberg  MS 95599,Joshuamouth,North Dakota,Montserrat,East,Matthew
The Artisan Shoppe,Exclusive,4/4/1983,46318 Lauren Center Stoneview  FM 05476,South Victorborough,Utah,Gabon,West,Sean
The Rustic Merchant,SMB,10/13/2019,98252 Ashley Lakes Jacksonstad  OK 68080,Johnsonport,Colorado,Romania,West,Carol
The Chic Finds,Outlet Stores,10/18/1981,35265 Richard Crossing Karaport  KS 45177,Lake Joshua,Illinois,Pakistan,South,Paul
The Trendy Shop,SMB,8/15/1978,0174 Jenkins Underpass Apt. 683 New Bryan  FM 83418,New Adam,Mississippi,Monaco,North,Mackenzie
The Artisan Marvels,MBO,12/23/1997,3844 Moon Points Suite 948 Garciaton  AR 44528,East Michaelchester,Oregon,Tunisia,West,Tony
The Eclectic Closet,SMB,11/18/1993,59527 Seth Extensions West Morganfort  MS 86099,Traceymouth,Minnesota,France,North,Marvin
